Instruction,Input,Response,Metadata
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
"Generate a SQL query to filter accounts based on billing eligibility and contact name, then select specific fields.",dim_account.sql model,"WITH eligible_billing_accounts AS (
  SELECT account_id
  FROM {{ source('webconnex', 'billing') }}
  WHERE waive_invoices != 1
),
filtered_accounts AS (
  SELECT
  id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id
  FROM {{ source('webconnex', 'account') }}
  WHERE
  id IN (SELECT account_id FROM eligible_billing_accounts)
  AND NOT (
  (contact LIKE 'BONUS_%' OR contact LIKE 'PRIZE_%')
  AND date_deleted IS NOT NULL
  )
)
SELECT
  id::int AS id,
  name,
  date_created,
  date_updated,
  date_deleted,
  source,
  referral_code,
  contact,
  email,
  phone,
  organization_id::int AS organization_id
FROM filtered_accounts;","SQL, dbt, Webconnex"
Generate a SQL query to select billing items for valid account IDs and join with account details.,dim_billing_item.sql model,"WITH account_ids AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN account_ids AS a ON bi.account_id = a.id;","SQL, dbt, Webconnex"
Generate a SQL query to select billing items for valid account IDs and join with account details.,dim_billing_item.sql model,"WITH account_ids AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN account_ids AS a ON bi.account_id = a.id;","SQL, dbt, Webconnex"
Write a SQL query to fetch billing items linked to valid account IDs.,dim_billing_item.sql model,"WITH account_ids AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN account_ids AS a ON bi.account_id = a.id;","SQL, dbt, Webconnex"
Create a SQL query to retrieve billing item details and join with account IDs from the dim_account table.,dim_billing_item.sql model,"WITH account_ids AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
JOIN account_ids AS a ON bi.account_id = a.id;","SQL, dbt, Webconnex"
"Generate a SQL script to select all fields from billing items where account IDs are valid, using a CTE.",dim_billing_item.sql model,"WITH valid_accounts AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN valid_accounts AS va ON bi.account_id = va.id;","SQL, dbt, Webconnex"
"Write a SQL query to extract billing item data with an inner join to account IDs, selecting specific fields.",dim_billing_item.sql model,"WITH account_reference AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN account_reference AS ar ON bi.account_id = ar.id;","SQL, dbt, Webconnex"
Create a SQL query to join billing items with valid accounts and select all relevant fields.,dim_billing_item.sql model,"WITH valid_account_ids AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
JOIN valid_account_ids AS vai ON bi.account_id = vai.id;","SQL, dbt, Webconnex"
Generate a SQL query using a CTE to filter billing items by valid account IDs.,dim_billing_item.sql model,"WITH filtered_accounts AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN filtered_accounts AS fa ON bi.account_id = fa.id;","SQL, dbt, Webconnex"
Write a SQL query to fetch billing items linked to valid account IDs.,dim_billing_item.sql model,"WITH account_ids AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN account_ids AS a ON bi.account_id = a.id;","SQL, dbt, Webconnex"
Create a SQL query to retrieve billing item details and join with account IDs from the dim_account table.,dim_billing_item.sql model,"WITH account_ids AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
JOIN account_ids AS a ON bi.account_id = a.id;","SQL, dbt, Webconnex"
"Generate a SQL script to select all fields from billing items where account IDs are valid, using a CTE.",dim_billing_item.sql model,"WITH valid_accounts AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN valid_accounts AS va ON bi.account_id = va.id;","SQL, dbt, Webconnex"
"Write a SQL query to extract billing item data with an inner join to account IDs, selecting specific fields.",dim_billing_item.sql model,"WITH account_reference AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN account_reference AS ar ON bi.account_id = ar.id;","SQL, dbt, Webconnex"
Create a SQL query to join billing items with valid accounts and select all relevant fields.,dim_billing_item.sql model,"WITH valid_account_ids AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
JOIN valid_account_ids AS vai ON bi.account_id = vai.id;","SQL, dbt, Webconnex"
Generate a SQL query using a CTE to filter billing items by valid account IDs.,dim_billing_item.sql model,"WITH filtered_accounts AS (
  SELECT id
  FROM {{ ref('dim_account') }}
)
SELECT
  bi.id::int AS id,
  bi.account_id::int AS account_id,
  bi.billing_id::int AS billing_id,
  bi.page_id::int AS page_id,
  bi.subject_type,
  bi.subject_id,
  bi.exclude_from_invoicing,
  bi.pricing_type,
  bi.quantity,
  bi.total,
  bi.currency,
  bi.date_created,
  bi.date_updated
FROM {{ source('webconnex', 'billing_item') }} AS bi
INNER JOIN filtered_accounts AS fa ON bi.account_id = fa.id;","SQL, dbt, Webconnex"
